Total Initial Robots: 25
Insertion Auction


[DATA]
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 1
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
50, 0
51, 0
52, 0
53, 0
54, 0
55, 0
56, 0
57, 0
58, 0
59, 0
60, 0
61, 0
62, 0
63, 0
64, 0
65, 0
66, 0
67, 0
68, 0
69, 0
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
70, 26
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
71, 27
72, 18
72, 18
72, 18
72, 18
72, 18
72, 18
72, 18
72, 18
72, 18
72, 18
72, 18
72, 18
72, 18
72, 18
72, 18
72, 18
72, 18
72, 18
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
73, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
74, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
75, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
76, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
77, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
78, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
79, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
80, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
81, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
82, 26
83, 26
83, 26
83, 26
83, 26
83, 26
83, 26
83, 26
83, 26
83, 26
83, 26
83, 26
83, 26
83, 26
83, 26
83, 26
83, 26
83, 26
83, 26
83, 26
83, 26
83, 26
